id,n_points,mean_step_m,median_step_m,mean_speed_mps,dwell_points
Reggie,2014,0.0,0.0,0.0,2012
Roger,2003,0.0,0.0,0.0,2001
Rusty,1996,1.4887521409510225,0.4430660360009,0.004962507136503408,1982
Seb,1622,0.020194171035846493,0.0,6.731390345282164e-05,1620
Siberia,2005,0.0,0.0,0.0,2003
Sid,2128,0.0,0.0,0.0,2126
Skye,2099,0.0,0.0,0.0,2097
SmokeyLongnose,2030,0.07218412355286931,0.014734600264513145,0.00024061374517623103,2028
Smudge,2041,0.0546762358510615,0.055686231185142154,0.00018225411950353832,2039
Smudge_2,2022,0.0,0.0,0.0,2020
Sparky,2009,0.0,0.0,0.0,2007
Spike,2100,0.09809157994979907,0.11792338195246511,0.0003269719331659969,2098
Spot,1780,0.0,0.0,0.0,1778
Teddy,936,0.15518740656784524,0.0,0.0005172913552261508,934
Tigger,2025,0.0,0.0,0.0,2023
Tilly,2035,0.013626143692226474,0.013871659786913581,4.5420478974088245e-05,2033
Tipsy,1947,0.0,0.0,0.0,1945
Tom,2349,0.05059866629390934,0.05457310288530273,0.00016866222097969782,2347
Tommy,2030,0.0,0.0,0.0,2028
Whiskey,2042,0.029143519248577898,0.016379648256036793,9.714506416192632e-05,2040
Wilfred,2020,0.03594245300880383,0.0,0.00011980817669601276,2018
Winnie,2006,0.10184305572988848,0.09987801706217567,0.00033947685243296163,2004
Worf,1583,0.23242518744837873,0.29605183876486085,0.000774750624827929,1581
